name,country,region,winery,rating,no_ratings,price,year,type
Foradori - Teroldego 2015,Italy,Vigneti delle Dolomiti,Foradori,3.8,1269,19.5,2015,red
Haut-Médoc 2015,France,Haut-Médoc,Château Arnauld,4.1,127,43.39,2015,red
Réserve Royale Saperavi 2015,Georgia,Kakheti,Mukhrani,4.4,127,32.9,2015,red
Tinto Reserva 2016,Portugal,Dão,Fonte do Ouro,4.0,127,11.75,2016,red
Petit Albet Penedès Rouge 2018,Spain,Penedès,Albet i Noya,3.2,127,7.95,2018,red
Camelot 2014,Italy,Terre Siciliane,Firriato,4.1,127,29.99,2014,red
Kaleidoscope 2018,South Africa,Stellenbosch,Kaapzicht,3.3,127,7.9,2018,red
Syrah 2015,South Africa,Cape Agulhas,Lands End,3.6,127,9.9,2015,red
Edición Limitada M 2016,Chile,Colchagua Valley,Caliterra,4.1,127,14.57,2016,red
Kennedy Grenache - Shiraz - Mourvedre 2017,Australia,Barossa Valley,Sons of Eden,3.9,127,26.81,2017,red
Collio Cabernet Sauvignon 2017,Italy,Collio,Marco Felluga,3.7,127,15.99,2017,red
Envero Carmenère Gran Reserva 2017,Chile,Colchagua Valley,Apaltagua,3.8,1270,14.5,2017,red
Casamatta Toscana Rosso 2016,Italy,Toscana,Bibi Graetz,3.5,1270,8.14,2016,red
Brunello di Montalcino 2012,Italy,Brunello di Montalcino,Fanti,4.2,1270,30.71,2012,red
Saint-Estèphe (Grand Cru Classé) 2010,France,Saint-Estèphe,Château Lafon-Rochet,4.1,1272,55.0,2010,red
The Butcher Cuvée 2017,Austria,Neusiedlersee,Schwarz,3.8,1273,25.5,2017,red
Saint-Estèphe 2009,France,Saint-Estèphe,Château Haut-Marbuzet,4.3,1274,62.39,2009,red
The Banished Dark Red 2018,Australia,South Eastern Australia,19 Crimes,4.0,1274,11.49,2018,red
Rosso di Montepulciano 2015,Italy,Rosso di Montepulciano,Poliziano,3.7,1274,9.95,2015,red
Nero d'Avola Terre Siciliane 2017,Italy,Terre Siciliane,Tenuta Rapitalà,3.4,1275,6.75,2017,red
Cabernet Sauvignon 2016,Chile,Aconcagua Valley,Arboleda,3.9,1275,15.5,2016,red
Crianza Rioja 2015,Spain,Rioja,Ramón Bilbao,3.8,12778,8.95,2015,red
Primitivo 2018,Italy,Puglia,Terre di Montelusa,3.8,128,4.9,2018,red
Reserva Merlot 2016,Chile,Maipo Valley,Santa Rita,3.3,128,9.65,2016,red
Bricco della Bigotta Barbera d'Asti 2013,Italy,Barbera d'Asti,Braida,4.2,128,45.0,2013,red
Cantus Primus Cabernet Sauvignon 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.8,128,18.9,2015,red
Sassorosso Grumello Valtellina Superiore 2016,Italy,Valtellina Superiore,Nino Negri,3.8,128,16.51,2016,red
Agneau Rouge Bordeaux 2018,France,Bordeaux,Baron Philippe de Rothschild,3.5,128,6.05,2018,red
