name,country,region,winery,rating,no_ratings,price,year,type
Famiglia dal 1908 Prosecco N.V.,Italy,Prosecco,Cielo e Terra,3.7,2458,5.99,N.V.,sparkling
Cuve William Deutz Millesim Brut Champagne N.V.,France,Champagne,Deutz,4.4,2496,130.0,N.V.,sparkling
Cristal Brut Champagne (Millsim) 2002,France,Champagne,Louis Roederer,4.7,2607,363.75,2002,sparkling
Prosecco Treviso Extra Dry N.V.,Italy,Prosecco di Treviso,Maschio dei Cavalieri,3.6,2617,10.29,N.V.,sparkling
Franciacorta Ros N.V.,Italy,Franciacorta,Contadi Castaldi,3.8,2649,19.9,N.V.,sparkling
Rare Brut Champagne (Millesim) 2002,France,Champagne,Piper-Heidsieck,4.5,2674,202.01,2002,sparkling
Riesling Brut N.V.,Germany,Pfalz,Reichsrat von Buhl,3.8,2693,15.5,N.V.,sparkling
7 Crus Brut Champagne Grand Cru 'Avize' N.V.,France,Champagne Grand Cru 'Avize',Agrapart & Fils,4.1,2700,45.72,N.V.,sparkling
Cristal Brut Champagne (Millsim) 2008,France,Champagne,Louis Roederer,4.6,2729,237.65,2008,sparkling
Grand Vintage Brut Champagne 2009,France,Champagne,Mot & Chandon,4.2,2737,67.29,2009,sparkling
Cuve Brut Champagne N.V.,France,Champagne,Jeanmaire,3.5,2739,25.97,N.V.,sparkling
Brut Champagne N.V.,France,Champagne,Besserat de Bellefon,4.0,2752,29.9,N.V.,sparkling
Cuve Brut Champagne N.V.,France,Champagne,Piper-Heidsieck,3.9,2781,44.54,N.V.,sparkling
1754 Prosecco N.V.,Italy,Prosecco,Casa Defr,3.8,2789,11.65,N.V.,sparkling
Grande Rserve Brut Champagne N.V.,France,Champagne,Baron-Fuent,3.8,2818,21.5,N.V.,sparkling
Brut Grand Ros Champagne N.V.,France,Champagne,Gosset,4.1,2820,33.0,N.V.,sparkling
Nocturne Champagne (Sec) N.V.,France,Champagne,Taittinger,4.1,2829,52.73,N.V.,sparkling
Sur Lie Nature N.V.,Brazil,Rio Grande do Sul,Casa Valduga,4.1,2837,16.61,N.V.,sparkling
Prima Cuve Brut N.V.,Italy,Franciacorta,Monte Rossa,3.8,2861,23.3,N.V.,sparkling
Bosco di Gica Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Adami,3.8,2889,12.9,N.V.,sparkling
Cristal Brut Champagne (Millsim) 2007,France,Champagne,Louis Roederer,4.6,2949,223.23,2007,sparkling
Corderie Prosecco Valdobbiadene Superiore N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Astoria,3.6,2955,10.3,N.V.,sparkling
Cava Pinot Noir Ros Brut N.V.,Spain,Cava,Juv & Camps,3.7,2992,15.98,N.V.,sparkling
Crede Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Bisol,3.8,3011,19.43,N.V.,sparkling
La Grande Anne Brut Champagne 2007,France,Champagne,Bollinger,4.4,3047,119.0,2007,sparkling
Giall'Oro Valdobbiadene Prosecco Superiore N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Ruggeri,3.9,3084,10.89,N.V.,sparkling
Valdobbiadene Prosecco Superiore Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Col Vetoraz,3.9,3088,12.5,N.V.,sparkling
Bandarossa Valdobbiadene Prosecco Superiore N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Bortolomiol,3.9,3121,14.9,N.V.,sparkling
Terroirs Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize' N.V.,France,Champagne Grand Cru 'Avize',Agrapart & Fils,4.2,3170,57.0,N.V.,sparkling
Blanc de Blancs Brut Champagne Grand Cru N.V.,France,Champagne Grand Cru,Billecart-Salmon,4.3,3206,59.8,N.V.,sparkling
Strada di Guia 109 Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Foss Marai,3.9,3281,13.72,N.V.,sparkling
Blanc de Blancs Brut Champagne (Vintage) N.V.,France,Champagne,Louis Roederer,4.2,3338,69.95,N.V.,sparkling
Brut N.V.,United States,Puget Sound,Domaine Ste. Michelle,3.6,3360,13.9,N.V.,sparkling
Franciacorta Brut N.V.,Italy,Lombardia,Ferghettina,3.8,3417,29.35,N.V.,sparkling
Brut Ros N.V.,France,Beaune,Veuve du Vernay,3.7,3418,8.64,N.V.,sparkling
Longitude Blanc de Blancs Champagne Premier Cru N.V.,France,Champagne Premier Cru,Larmandier-Bernier,4.1,3575,48.5,N.V.,sparkling
Grand Cordon Brut Champagne N.V.,France,Champagne,G.H. Mumm,3.9,3582,36.0,N.V.,sparkling
Asti Dolce N.V.,Italy,Asti,Fontanafredda,3.7,4127,16.5,N.V.,sparkling
Prestige Collection Extra Dry Prosecco Treviso N.V.,Italy,Prosecco di Treviso,Mionetto,3.6,4135,10.89,N.V.,sparkling
Brut Ros (Rose Label) Champagne N.V.,France,Champagne,Lanson,3.9,4143,34.95,N.V.,sparkling
Brut (Chardonnay - Pinot Noir) N.V.,South Africa,Robertson,Graham Beck,3.8,4214,16.9,N.V.,sparkling
Brut Tradition Champagne Grand Cru 'Ambonnay' N.V.,France,Champagne Grand Cru 'Ambonnay',Egly-Ouriet,4.3,4301,73.0,N.V.,sparkling
Cava Brut Reserva N.V.,Spain,Cava,Castillo Perelada,3.5,4329,12.5,N.V.,sparkling
Blanc de Blancs Cuve Cuis Brut Champagne 1er Cru N.V.,France,Champagne Premier Cru,Pierre Gimonnet & Fils,4.0,4381,29.9,N.V.,sparkling
Comtes de Champagne Blanc de Blancs 2006,France,Champagne,Taittinger,4.5,4438,145.19,2006,sparkling
Prlude Grands Crus Brut Champagne N.V.,France,Champagne,Taittinger,4.2,4540,57.15,N.V.,sparkling
Grande Rserve Brut Champagne N.V.,France,Champagne,Alexandre Bonnet,3.8,4551,32.95,N.V.,sparkling
Cava Brut Reserva N.V.,Spain,Cava,Segura Viudas,3.6,4627,9.25,N.V.,sparkling
Gold N.V.,Italy,Veneto,Bottega,3.7,4683,20.5,N.V.,sparkling
Blanc de Blancs Brut N.V.,Spain,Cava,Anna de Codorniu,3.6,4688,11.99,N.V.,sparkling
Alma Cuve Brut N.V.,Italy,Franciacorta,Bellavista,3.9,4736,27.9,N.V.,sparkling
La Cuve Brut Champagne N.V.,France,Champagne,Laurent-Perrier,4.0,4740,37.4,N.V.,sparkling
Prosecco N.V.,Italy,Prosecco,Albino Armani,3.8,4800,11.95,N.V.,sparkling
Ros Sauvage Brut Champagne N.V.,France,Champagne,Piper-Heidsieck,3.8,4846,45.49,N.V.,sparkling
Prestige Ros Brut Champagne N.V.,France,Champagne,Taittinger,4.1,4847,48.64,N.V.,sparkling
Prosecco Cuve 1821 N.V.,Italy,Prosecco,Zonin,3.7,4948,8.59,N.V.,sparkling
Brut Champagne (Cuve Royale) N.V.,France,Champagne,Joseph Perrier,3.8,4982,35.0,N.V.,sparkling
Demi-Sec Champagne N.V.,France,Champagne,Veuve Clicquot,4.3,5006,51.49,N.V.,sparkling
